Infor,"New York, New York (Headquarters)",http://www.infor.com,Advanced Technology Partner,"Infor supports innovation – and progress – for leading organizations in every industry with specifically-designed Infor CloudSuites. Infor CloudSuites are built for the cloud and backed by decades of practical application and continuously enhanced with the latest innovations, from mobile access and social technologies to industry-driven analytics. Visit infor.com/cloud.","Healthcare,Government,Industrial Software","AWS Public Sector Partner: Government, Education, Non-Profit","AWS Certified Developer - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Professional,AWS Certified Solutions Architect - Associate,AWS Certified DevOps Engineer - Professional",Software & Internet,"Enterprise,Mid-size Business",Application Development,"Business Intelligence,CRM",,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Infor&id=001E000000Rl0wxIAB'
Sourced Group,"Chippendale, New South Wales (Headquarters)",http://www.sourcedgroup.com,Premier Consulting Partner,"Sourced Group is a global consulting firm with offices in Toronto, Canada; Sydney, Australia; and Singapore. The company is focused on large-scale cloud transformation services for enterprise clients in highly regulated industries such as Aviation, Financial Services, Healthcare and Telecommunications. Formed in 2010, we have nearly a decade of experience in cloud migration and management.","DevOps,Migration","Authorized Commercial Reseller,AWS Public Sector Partner: Government","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified DevOps Engineer - Professional,AWS Certified Sysops Administrator - Associate","Big Data, Analytics, Batch Processing &,Business Applications - Oracle,Business Applications - Other,Content Delivery,Database & Data Warehouse,Dev & Test,Disaster Recovery,High Availability,High Performance Computing (HPC),Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO),Web & Web Apps",Financial Services,"Enterprise,Government - National,Mid-size Business","Apache,Hadoop,JBOSS,Linux,Microsoft SQL,MySql,Oracle Apps,Oracle DB,Oracle Middleware,PHP,Ruby,SAP,System Management","Assessment / Jumpstart Pkg,Cloud Migration Services,Custom Application Development,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Training,Assessments",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Sourced%20Group&id=001E000000Rl0y0IAB'
CACI,"Arlington, Virginia (Headquarters)",http://www.caci.com,Premier Consulting Partner,"CACI’s 20,000 employees provide the exceptional service, dedication, and technical innovation our customers require. Our solutions and services modernize and transform how the government does business; optimize the delivery of healthcare; secure and protect vital data and IT infrastructures; track and counter emerging threats; and keep America’s armed forces equipped, armed, and mission-ready.","DevOps,Government","Authorized Commercial Reseller,Authorized Government Reseller,AWS Public Sector Partner: Government","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional",,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=CACI&id=001E000000Rl0yaIAB'
MarkLogic,"San Carlos, CA (Headquarters)",http://www.marklogic.com/,Advanced Technology Partner,"For over a decade, organizations around the world have come to rely on MarkLogic to power their innovative information applications. As the world’s experts at integrating data from silos, MarkLogic’s operational and transactional enterprise NoSQL database platform empowers our customers to build next generation applications on a unified, 360-degree view of their data. Headquartered in Silicon V",Data & Analytics,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Nonprofit","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified Sysops Administrator - Associate","Big Data, Analytics, Batch Processing &,Content Delivery,Database & Data Warehouse,Web & Web Apps",Software & Internet,"Government,Enterprise","Custom Application Development,Systems Integration","Application Development,Application Stacks,Databases & Caching","Monitoring,Testing",b'https://aws.amazon.com/partners/find/partnerdetails/?n=MarkLogic&id=001E000000Rl12cIAB'
Symantec,"Mountain View, CA (Headquarters)",http://www.symantec.com,Advanced Technology Partner,Symantec understands the distinct requirements for security in the cloud and offers solutions optimized for AWS AWS Featured Partner Solutions on AWS and protection for The Cloud Generation,Security,"AWS Marketplace Seller,AWS Public Sector Partner: Government","AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified Developer - Associate,AWS Certified Solutions Architect - Professional","Internet of Things (IoT),Security & Compliance,GDPR Practice",Business & Consumer Services,"Education,Enterprise,Government - Local,Government - National,Mid-size Business,Non-Profit,Startup","Linux,Microsoft Exchange,Microsoft SharePoint,Microsoft SQL,MySql,Oracle DB",Security,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Symantec&id=001E000000Rl13CIAR'
TechnologyOne,"Fortitude Valley, Queensland (Headquarters)",http://www.technologyonecorp.com/,Advanced Technology Partner,"TechnologyOne (ASX:TNE) is one of Australia's largest publicly listed software companies, with offices across six countries including each state and territory of Australia, as well as New Zealand, the South Pacific, Asia and the United Kingdom. For 25 years, we have been providing powerful and deeply integrated enterprise software solutions that are used every day by more than 1000 leading corp","Government,Education,Nonprofit","AWS Public Sector Partner: Government, Education, Non-Profit","AWS Certified Developer - Associate,AWS Certified DevOps Engineer - Professional,AWS Certified Solutions Architect - Associate",Software & Internet,Application Development,Monitoring,Business Intelligence,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=TechnologyOne&id=001E000000Rp5HlIAJ'
Oblivion Cloud Control BV,"Apeldoorn, Gelderland (Headquarters)",http://oblcc.com,Premier Consulting Partner,"As the first Dutch native AWS Premier Consulting Partner, Oblivion Cloud Control provenly offers a high-quality range of services. We provide technical and business consultancy, migrations and workloads implementations, training and support for companies who wish to adopt the AWS Cloud or simply need a partner for their complex issues around security, automation and cost management within AWS","DevOps,IoT","Authorized Commercial Reseller,AWS Public Sector Partner: Government,Well Architected","AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional,AWS Certified Developer - Associate,AWS Certified Solutions Architect - Professional","Archiving,Big Data, Analytics, Batch Processing &,Content Delivery,Database & Data Warehouse,Dev & Test,Digital Marketing,Disaster Recovery,High Availability,Internet of Things (IoT),Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO),Web & Web Apps",Software & Internet,"Education,Government,Small Business,Enterprise,Mid-size Business,Startup","Apache,Flash Media Server,Hadoop,JBOSS,Linux,Microsoft .NET,Microsoft SharePoint,Microsoft SQL,MySql,Oracle DB,PHP,Ruby,System Management","Assessment / Jumpstart Pkg,Cloud Migration Services,Custom Application Development,Digital Marketing,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Training,Assessments",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Oblivion%20Cloud%20Control%20BV&id=001E000000ekLueIAE'
CloudEndure,"New York, NY (Headquarters)",http://www.CloudEndure.com,Advanced Technology Partner,"CloudEndure provides Live-Migration and Disaster Recovery for any physical/virtual/cloud-based workloads. CloudEndure delivers block-level, real-time replication using continuous data protection (CDP), mobilizing or protecting entire workloads with near zero downtime and no data loss during cutover / recovery, while dramatically reducing costs by effective use of cloud infrastructure.","Storage,Migration","AWS Marketplace Seller,AWS Public Sector Partner: Government, Education",,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=CloudEndure&id=001E000000mv8djIAA'
RISC Networks,"Asheville, North Carolina (Headquarters)",http://www.riscnetworks.com,Advanced Technology Partner,"Our focus at RISC Networks is to improve the performance of our customer’s businesses and make a difference in their lives by developing technology and research that supports an actionable approach and perspective for their IT business. Recognized by the ITOA Landscape as a top 50 company in their latest ITOA50, RISC Networks is a unique cloud readiness and planning analytics vendor offering paten",Migration,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Nonprofit","AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional",Software & Internet,"Education,Government,Enterprise,Mid-size Business","Cloud Migration Services,Assessments","Network Infrastructure,Operating Systems",,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=RISC%20Networks&id=001E000000vt0RoIAI'
Cyxtera,"Coral Gables, Florida (Headquarters)",http://www.cyxtera.com,Advanced Technology Partner,"Cyxtera Technologies combines a worldwide footprint of best-in-class data centers with a portfolio of modern and hybrid-ready security and analytics offerings. Cyxtera's AppGate SDP solution secures the enterprise with dynamic, context-aware security that protect critical services, applications and content from internal and external threats.",Security,"AWS Marketplace Seller,AWS Public Sector Partner: Government",AWS Certified Solutions Architect - Associate,Security & Compliance,Software & Internet,"Education,Enterprise,Government - Local,Government - National,Mid-size Business","Network Infrastructure,Security",I don't know,I don't know,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Cyxtera&id=0010L00001nF1qWQAS'
Epsagon,"Palo Alto, CA (Headquarters)",https://www.epsagon.com,Advanced Technology Partner,"Epsagon specializes in monitoring and automated troubleshooting for serverless and/or micro services in cloud-based environments. We’re the only company that can provide distributed, automated tracing of every request in a transaction and integrated logging and tracing in a single interface. Everything about our solution is automated for DevOps/Engineering.","Data & Analytics,DevOps","AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Epsagon&id=0010L00001tAmgwQAC'
ESRI,"Redlands, CA (Headquarters)",http://www.esri.com,Advanced Technology Partner,"We provide powerful GIS solutions to more than 350,000 clients in more than 150 countries. Headquartered in Redlands, California, Esri has 41 offices worldwide, over 80 international distributors, and more than 2K partners who provide applications, data, and hardware that complement our technology. Learn more about Esri. Esri","Authorized Commercial Reseller,Authorized Government Reseller,AWS Marketplace Seller,AWS Public Sector Partner: Government","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate",Commonwealth of Massachusetts Cloud,Software & Internet,"Application Development,Application Servers",Business Intelligence,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=ESRI&id=001E000000Rl0wdIAB'
Edifixio,"Levallois Perret, IDF (Headquarters)",https://www.edifixio.com,Premier Consulting Partner,"With 9 years of experience in AWS implementation, EdifiXio can achieve: AWS platform Architecture design and optimization Migration projects with comprehensive experience and AWS methodology Developments or optimization of business applications designed with AWS managed services 24x7 Operation of your AWS platform with strong SLA commitment",Migration,"Authorized Commercial Reseller,Managed Service Provider","AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Professional,AWS Certified DevOps Engineer - Professional,AWS Certified Developer - Associate","Big Data, Analytics, Batch Processing &,Business Applications - Oracle,Content Delivery,Database & Data Warehouse,Dev & Test,Disaster Recovery,High Availability,Internet of Things (IoT),Security & Compliance,Storage (Backup, Recovery & Asset Storag,Value (Cost Savings/TCO),Web & Web Apps",Business & Consumer Services,"Enterprise,Mid-size Business,Startup","Apache,IBM,JBOSS,Linux,Microsoft .NET,Microsoft SQL,MySql,Oracle Apps,Oracle DB,Oracle Middleware,PHP,System Management","Assessment / Jumpstart Pkg,Cloud Migration Services,Custom Application Development,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Assessments",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Edifixio&id=001E000000Rl12JIAR'
F5 Networks,"Seattle, WA (Headquarters)",http://www.f5.com,Advanced Technology Partner,"F5 (NASDAQ: FFIV) makes apps go faster, smarter, and safer for the world’s largest businesses, service providers, governments, and consumer brands. Our application delivery and security solutions empower organizations to securely and confidently deploy applications in all major cloud platforms without sacrificing the agility and scalability these environments afford.",Security,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional","Content Delivery,High Availability,Security & Compliance",Software & Internet,"Education,Enterprise,Government - Local,Government - National,Mid-size Business,Startup",Linux,"Cloud Migration Services,Assessments","Network Infrastructure,Security",b'https://aws.amazon.com/partners/find/partnerdetails/?n=F5%20Networks&id=001E000000Rl12PIAR'
Smartsheet,"Bellevue, WA (Headquarters)",http://www.smartsheet.com,Advanced Technology Partner,"Smartsheet is designed to unleash the benefits of greater work agility and collaboration by providing a powerful platform for organizations to plan, capture, manage, automate, and report on work. Smartsheet empowers teams to execute with speed and accountability — and make better decisions, faster.",Government,"AWS Marketplace Seller,AWS Public Sector Partner: Government","AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional","Business Applications - Microsoft,Business Applications - Other,Business Applications - SAP,Digital Marketing,Internet of Things (IoT),Mobile,Security & Compliance,Value (Cost Savings/TCO),Web & Web Apps",Software & Internet,"Education,Government,Small Business,Enterprise,Government - Local,Government - National,Mid-size Business,Non-Profit,Startup","Content Management,CRM,Media,Storage & Backup",,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=Smartsheet&id=001E000000Rp5HIIAZ'
HCL Technologies,"NOIDA, U.P (Headquarters)",http://www.hcl.com,Premier Consulting Partner,"HCL Technologies (HCL) is a Premier Consulting Partner and HCL ElasticOps is a certified Managed Services Partner. HCL is also Migration Competency and Storage Competency Partner . With a dedicated Cloud-Native Business Unit, we build and provide enterprise cloud computing solutions on the AWS platform.","Migration,Storage","Authorized Commercial Reseller,Managed Service Provider,AWS Public Sector Partner: Government","AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified DevOps Engineer - Professional,AWS Certified Sysops Administrator - Associate,AWS Certified Developer - Associate","Big Data, Analytics, Batch Processing &,Content Delivery,Database & Data Warehouse,Dev & Test,Digital Marketing,High Performance Computing (HPC),Security & Compliance,Storage (Backup, Recovery & Asset Storag,Web & Web Apps",Business & Consumer Services,"Education,Government,Enterprise,Mid-size Business","Apache,Flash Media Server,Hadoop,IBM,JBOSS,Linux,Microsoft .NET,Microsoft Exchange,Microsoft SharePoint,Microsoft SQL,MySql,Oracle Apps,Oracle DB,Oracle Middleware,PHP,Ruby,SAP,System Management","Assessment / Jumpstart Pkg,Cloud Migration Services,Custom Application Development,Digital Marketing,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Training",SBA Certified Small Business(SB),b'https://aws.amazon.com/partners/find/partnerdetails/?n=HCL%20Technologies&id=001E000000Rp5QhIAJ'
OpenDataSoft,"Paris, Paris (Headquarters)",http://www.opendatasoft.com,Advanced Technology Partner,"OpenDataSoft is a turnkey SaaS platform that makes it very easy to publish, share, and reuse data & APIs online. Business users daily deal with lots of data & APIs but don’t extract all their value. OpenDataSoft helps them monetize their data on the web and through applications. With OpenDataSoft, any non-tech user can turn any data into interactive data visualizations shareable e",Government,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Non-Profit",,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=OpenDataSoft&id=001E000000Rp5YMIAZ'
N2W Software,"West Palm Beach, FL (Headquarters)",https://n2ws.com,Advanced Technology Partner,"TRY OUT N2WS Backup & Recovery (CPM) 30-DAY FREE TRIAL & BYOL Edition. N2WS is the leading backup, recovery and DR solution purpose-built for AWS workloads. By leveraging native snapshots, it provides an additional layer of security within your AWS environment and supports your EC2, RDS, NoSQL and serverless workloads. N2WS enables full automation and instant recovery.",Storage,"AWS Marketplace Seller,AWS Public Sector Partner: Government, Education, Nonprofit",,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=N2W%20Software&id=001E000000UfYu3IAF'
FIS,"Jacksonville, FL (Headquarters)",http://fisglobal.com,Advanced Technology Partner,"FIS is the world's largest global provider dedicated to banking and payments technologies. FIS empowers the financial world with payment processing and banking solutions, including software, services and technology outsourcing. FIS’ more than 55,000 worldwide employees are passionate about moving our clients’ business forward.",Financial Services,"Authorized Commercial Reseller,AWS Marketplace Seller","AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified Solutions Architect - Professional","Database & Data Warehouse,Dev & Test,High Performance Computing (HPC),Mobile",Financial Services,"Education,Small Business,Enterprise,Mid-size Business","Hadoop,IBM,JBOSS,Linux,Microsoft .NET,Microsoft SQL,MySql,Oracle Apps,Oracle DB,PHP,Ruby,SAP,System Management","Cloud Migration Services,Custom Application Development,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Assessments","Application Development,Application Stacks,Databases & Caching",b'https://aws.amazon.com/partners/find/partnerdetails/?n=FIS&id=001E000000Ufa8QIAR'
CLOUDWICK TECHNOLOGIES,"Newark, CA (Headquarters)",http://www.cloudwick.com,Advanced Consulting Partner,"Cloudwick enables enterprises, like Bank of America, Comcast, Home Depot, Intuit, JP Morgan, Visa, and Walmart, to gain competitive advantage from open source, big data, cloud and advanced analytics. We provide architecture, development, and managed services with 200 Data engineers, developers and data scientists in North America and Europe that engineer and manage 50k clusters On-Prem and Cloud.","Data & Analytics,DevOps,Machine Learning",Amazon Redshift,AWS Public Sector Partner: Education,,,,,,,b'https://aws.amazon.com/partners/find/partnerdetails/?n=CLOUDWICK%20TECHNOLOGIES&id=001E000000UfaSDIAZ'
FPT Software,"Hanoi, Hanoi (Headquarters)",http://www.fpt-software.com/,Premier Consulting Partner,"As the first ASEAN-headquartered AWS Premier Partner, FPT Corporation is the global leading technology and IT services group with nearly US$2 billion in revenue and 33,000 employees. FPT is a pioneer in digital transformation and delivers world-class services. FPT has served over 500 customers worldwide, 100 of which are Fortune 500 companies in various industries.",Migration,"Authorized Commercial Reseller,Managed Service Provider,AWS Marketplace Seller","AWS Certified Solutions Architect - Professional,AWS Certified Developer - Associate,AWS Certified Solutions Architect - Associate,AWS Certified Sysops Administrator - Associate,AWS Certified DevOps Engineer - Professional","Big Data, Analytics, Batch Processing &,Content Delivery,Database & Data Warehouse,Dev & Test,Digital Marketing,High Performance Computing (HPC),Mobile,Security & Compliance,Web & Web Apps",Software & Internet,"Education,Government,Enterprise,Mid-size Business","Apache,Hadoop,IBM,JBOSS,Linux,Microsoft .NET,Microsoft Exchange,Microsoft SharePoint,Microsoft SQL,MySql,Oracle Apps,Oracle DB,Oracle Middleware,PHP,Ruby,SAP,System Management","Assessment / Jumpstart Pkg,Cloud Migration Services,Custom Application Development,Managed Service Provider,Strategic / IT Consulting,Systems Integration,Assessments",,b'https://aws.amazon.com/partners/find/partnerdetails/?n=FPT%20Software&id=001E000000UfacWIAR'
Informatica,"Redwood City, CA (Headquarters)",http://www.informatica.com,Advanced Technology Partner,"Informatica is a leading provider of enterprise cloud data management software that empowers organizations to access, integrate, manage and govern all its data, giving organizations a competitive advantage in today’s global information economy. For more information visit: www.informatica.com/aws",Data & Analytics,"AWS Marketplace Seller,AWS Public Sector Partner: Government","AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect - Professional,AWS Certified Developer - Associate","Archiving,Big Data, Analytics, Batch Processing &,Business Applications - Microsoft,Business Applications - Oracle,Business Applications - Other,Business Applications - SAP,Database & Data Warehouse,Internet of Things (IoT),Security & Compliance",Business & Consumer Services,"Education,Enterprise,Government - Local,Government - National,Mid-size Business,Non-Profit,Startup","Cloud Migration Services,Managed Service Provider","Application Stacks,Databases & Caching,Security","Monitoring,Source Control,Testing",b'https://aws.amazon.com/partners/find/partnerdetails/?n=Informatica&id=001E000000UfakwIAB'
